id	bibcode	title	author	aff	year	pub	volume	page	pubdate	date	bibstem	citation	citation_count	doctype	orcid	property	author_match	orcid_match
20617235	2021MNRAS.507.3030J	['Dust in RCW 58: Clues to common envelope channel formation?']	['Jiménez-Hernández, P.', 'Arthur, S. J.', 'Toalá, J. A.', 'Marston, A. P.']	['Instituto de Radioastronomía y Astrofísica (IRyA), UNAM Campus Morelia, Apartado postal 3-72, 58090 Morelia, Michoacan, Mexico', 'Instituto de Radioastronomía y Astrofísica (IRyA), UNAM Campus Morelia, Apartado postal 3-72, 58090 Morelia, Michoacan, Mexico', 'Instituto de Radioastronomía y Astrofísica (IRyA), UNAM Campus Morelia, Apartado postal 3-72, 58090 Morelia, Michoacan, Mexico', 'European Space Astronomy Centre, ESA, PO Box 78, E-28691 Villanueva de la Cañada, Madrid, Spain']	2021	Monthly Notices of the Royal Astronomical Society	507	['3030']	2021-10-00	2021-10-01T00:00:00Z	['MNRAS', 'MNRAS.507']	['2022MNRAS.509..974G', '2022MNRAS.513.3317Z']	2	article		['ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'REFEREED']	('Arthur, S. J.', 86)	
1811537	1991IAUS..148..331A	['Supernova Explosions in Stellar Wind Bubbles']	['Arthur, S. Jane']	['-']	1991	The Magellanic Clouds	148	['331']	1991-00-00	1991-01-01T00:00:00Z	['IAUS', 'IAUS..148']	['1991MNRAS.251...93A']	1	inproceedings		['ADS_OPENACCESS', 'ARTICLE', 'ESOURCE', 'NOT REFEREED', 'OPENACCESS', 'TOC']	('Arthur, S. Jane', 87)	
19322939	2020MNRAS.497.4128J	['Dust in the Wolf-Rayet nebula M 1-67']	['Jiménez-Hernández, P.', 'Arthur, S. J.', 'Toalá, J. A.']	['Instituto de Radioastronomía y Astrofísica (IRyA), UNAM Campus Morelia, Apartado postal 3-72, 58090 Morelia, Michoacan, Mexico', 'Instituto de Radioastronomía y Astrofísica (IRyA), UNAM Campus Morelia, Apartado postal 3-72, 58090 Morelia, Michoacan, Mexico', 'Instituto de Radioastronomía y Astrofísica (IRyA), UNAM Campus Morelia, Apartado postal 3-72, 58090 Morelia, Michoacan, Mexico']	2020	Monthly Notices of the Royal Astronomical Society	497	['4128']	2020-10-00	2020-10-01T00:00:00Z	['MNRAS', 'MNRAS.497']	['2020MNRAS.499..415R', '2021MNRAS.503.1543T', '2021MNRAS.507.3030J', '2022MNRAS.509..974G', '2022MNRAS.513.3317Z']	5	article		['ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'REFEREED']	('Arthur, S. J.', 86)	
1811537	1991IAUS..148..331A	['Supernova Explosions in Stellar Wind Bubbles']	['Arthur, S. Jane']	['-']	1991	The Magellanic Clouds	148	['331']	1991-00-00	1991-01-01T00:00:00Z	['IAUS', 'IAUS..148']	['1991MNRAS.251...93A']	1	inproceedings		['ADS_OPENACCESS', 'ARTICLE', 'ESOURCE', 'NOT REFEREED', 'OPENACCESS', 'TOC']	('Arthur, S. Jane', 87)	
17551433	2019MNRAS.489.2142H	['Bow shocks, bow waves, and dust waves - III. Diagnostics']	['Henney, William J.', 'Arthur, S. J.']	['Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Apartado Postal 3-72, 58090 Morelia, Michoacán, México', 'Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Apartado Postal 3-72, 58090 Morelia, Michoacán, México']	2019	Monthly Notices of the Royal Astronomical Society	489	['2142']	2019-10-00	2019-10-01T00:00:00Z	['MNRAS', 'MNRAS.489']	['2019A&A...631A.170R', '2019MNRAS.486.3423H', '2019arXiv190700122H', '2020MNRAS.493.3548M', '2020MNRAS.494.1838S', '2021A&A...647A..28K', '2021A&A...650A..36B', '2021MNRAS.506.5170M', '2022A&A...663A..10B', '2022A&A...663A..80M', '2022MNRAS.511.5104M', '2022MNRAS.515L..29M', '2022SSRv..218...29H']	13	article		['ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'REFEREED']	('Arthur, S. J.', 86)	
15863425	2019MNRAS.486.4423H	['Bow shocks, bow waves, and dust waves - II. Beyond the rip point']	['Henney, William J.', 'Arthur, S. J.']	['Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Apartado Postal 3-72, 58090 Morelia, Michoacán, México', 'Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Apartado Postal 3-72, 58090 Morelia, Michoacán, México']	2019	Monthly Notices of the Royal Astronomical Society	486	['4423']	2019-07-00	2019-07-01T00:00:00Z	['MNRAS', 'MNRAS.486']	['2019A&A...631A.170R', '2019MNRAS.486.3423H', '2019MNRAS.489.2142H', '2019arXiv190700122H', '2020MNRAS.493.3548M', '2020MNRAS.494.1838S', '2021A&A...650A..36B', '2021ApJ...909...62P', '2021MNRAS.500.4319S', '2021MNRAS.506.5170M', '2021MNRAS.507.3030J', '2022A&A...663A..10B', '2022A&A...663A..80M', '2022MNRAS.513.3317Z', '2022MNRAS.515L..29M', '2022SSRv..218...29H']	16	article		['ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'PUB_OPENACCESS', 'REFEREED']	('Arthur, S. J.', 86)	
15859856	2019MNRAS.486.3423H	['Bow shocks, bow waves, and dust waves - I. Strong coupling limit']	['Henney, William J.', 'Arthur, S. J.']	['Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Apartado Postal 3-72, 58090 Morelia, Michoacán, México', 'Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Apartado Postal 3-72, 58090 Morelia, Michoacán, México']	2019	Monthly Notices of the Royal Astronomical Society	486	['3423']	2019-07-00	2019-07-01T00:00:00Z	['MNRAS', 'MNRAS.486']	['2019A&A...631A.170R', '2019AJ....158...73K', '2019MNRAS.486.4423H', '2019MNRAS.488.1141J', '2019MNRAS.489.2142H', '2019arXiv190601201K', '2019arXiv190700122H', '2020A&A...642A..21R', '2020ApJS..251...29C', '2020MNRAS.493.3548M', '2020MNRAS.494.1838S', '2021MNRAS.500.4319S', '2021MNRAS.506.5170M', '2022A&A...663A..10B', '2022AJ....164...86K', '2022ARA&A..60..203V', '2022ApJ...924..138P', '2022ApJ...934...32M', '2022MNRAS.515.1544S', '2022MNRAS.515L..29M', '2022SSRv..218...29H']	21	article		['ARTICLE', 'DATA', 'EPRINT_OPENACCESS', 'ESOURCE', 'OPENACCESS', 'PUB_OPENACCESS', 'REFEREED']	('Arthur, S. J.', 86)	
16145854	2019arXiv190700122H	['Bow shocks, bow waves, and dust waves. IV. Shell shape statistics']	['Henney, William J.', 'Tarango-Yong, Jorge A.', 'Ángel Gutiérrez-Soto, Luis', 'Arthur, S. J.']	['-', '-', '-', '-']	2019	arXiv e-prints		['arXiv:1907.00122']	2019-06-00	2019-06-01T00:00:00Z	['arXiv', 'arXiv1907']	['2021MNRAS.506.5170M', '2022SSRv..218...29H']	2	eprint		['ARTICLE', 'EPRINT_OPENACCESS', 'ESOURCE', 'NOT REFEREED', 'OPENACCESS']	('Arthur, S. J.', 86)	
1811537	1991IAUS..148..331A	['Supernova Explosions in Stellar Wind Bubbles']	['Arthur, S. Jane']	['-']	1991	The Magellanic Clouds	148	['331']	1991-00-00	1991-01-01T00:00:00Z	['IAUS', 'IAUS..148']	['1991MNRAS.251...93A']	1	inproceedings		['ADS_OPENACCESS', 'ARTICLE', 'ESOURCE', 'NOT REFEREED', 'OPENACCESS', 'TOC']	('Arthur, S. Jane', 87)	
1811537	1991IAUS..148..331A	['Supernova Explosions in Stellar Wind Bubbles']	['Arthur, S. Jane']	['-']	1991	The Magellanic Clouds	148	['331']	1991-00-00	1991-01-01T00:00:00Z	['IAUS', 'IAUS..148']	['1991MNRAS.251...93A']	1	inproceedings		['ADS_OPENACCESS', 'ARTICLE', 'ESOURCE', 'NOT REFEREED', 'OPENACCESS', 'TOC']	('Arthur, S. Jane', 87)	
